"Attribute";"Description";"MetaComponent";"LogicalPath";"Infrastructure";"DataType";"Values";"Entity";"Length";"Precision";"Scale";"Format";"Multiplicity";"MinValue";"MaxValue";"PhysicalAttribute";"BusinessObjectDependency";"BusinessObjectAttributeDependency";"Remark";"RequirementId";"Component";"Physical";"PhysicalEntity";"URL";"Discriminator";"BusinessObject";"BusinessFunction";"BusinessProcess";"Technology";"BusinessContact";"TechnologyContact";"ImplicitImport";"IsBusinessObjectAttribute";"BusinessObjectAttributeMapping";"BusinessObjectAttributeMappingDiscriminator";"BusinessObjectMapping";"BusinessObjectMappingDiscriminator";"NameInBusinessLanguage";"ConstantValue";"MetaType";"GUIName";"GUIType";"Namespace";"Nullable"
"LocationNum";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/Location/LocationNum";"";"int";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"StatedValue";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/StatedValue";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"IndustryUse";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/IndustryUse";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"VehicleNumber";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/VehicleNumber";"";"int";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"LengthOfLease";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/LengthOfLease";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"Industry";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/Industry";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"Year";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/Year";"";"int";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"VehicleClassCode";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/VehicleClassCode";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"Model";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/Model";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"YearPurchased";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/YearPurchased";"";"int";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"PrimaryUse";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/PrimaryUse";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
"LicensePlate";"";"Interface/Code";"/gxmodel/PolicyPeriodModel.xsd/PolicyPeriod/BusinessAutoLine/Vehicles/Entry/LicensePlate";"";"string";"";"PolicyPeriodModel.xsd";"";"";"";"";"0(min)-1(max)";"";"";"";"";"";"";"";"PolicyPeriodModel.xsd";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"Simple";"";"";"http://www.w3.org/2001/XMLSchema";""
